Campaign,Article Title,Article URL,Media Outlet,Publication Date,Estimated Reach,Impressions,Media Type,Sentiment,Author,Category,Tags
"Reigns - Made For","Reigns Releases Stunning New Track 'Made For'","https://example.com/reigns-made-for","NME","2025-05-10",45000,125000,Online,positive,John Smith,Music,"indie,new music"
"Reigns - Made For","Indie Artist Reigns Captures Hearts with Latest Single","https://example.com/reigns-review","The Guardian","2025-05-12",180000,450000,Online,positive,Sarah Johnson,Music,"indie,review"
"Reigns - Made For","Reigns - Made For: Track Review","https://example.com/reigns-track-review","Clash Magazine","2025-05-08",25000,75000,Online,positive,Mike Wilson,Music,"indie,track review"
"Reigns - Made For","New Music Friday: Reigns Leads Indie Charge","https://example.com/new-music-friday","BBC Music","2025-05-09",320000,800000,Online,positive,Emma Davis,Music,"indie,new music friday"
"Reigns - Made For","Track of the Day: Reigns - Made For","https://example.com/track-of-day","Amazing Radio","2025-05-15",35000,90000,Radio,positive,Amazing Radio Team,Music,"indie,track of the day"
"Sarah Jones - Electric Dreams","Sarah Jones Electrifies with New Single","https://example.com/sarah-jones-electric","BBC Radio 6 Music","2025-04-20",280000,700000,Radio,positive,BBC 6 Music,Music,"electronic,indie"
"Sarah Jones - Electric Dreams","Electric Dreams: A Sonic Journey","https://example.com/electric-dreams-review","The Line of Best Fit","2025-04-18",15000,40000,Online,positive,Alex Taylor,Music,"electronic,review"
"Sarah Jones - Electric Dreams","Sarah Jones - Electric Dreams: First Listen","https://example.com/sarah-first-listen","DIY Mag","2025-04-19",12000,35000,Online,positive,Tom Brown,Music,"electronic,first listen"
"Tom Wilson - Midnight Drive","Midnight Drive: A Perfect Late-Night Anthem","https://example.com/midnight-drive","Radio Wigwam","2025-03-15",8000,25000,Radio,positive,Radio Wigwam Team,Music,"indie,late night"
"Tom Wilson - Midnight Drive","Tom Wilson's Midnight Drive Captures Urban Nightlife","https://example.com/midnight-drive-review","Clash Magazine","2025-03-14",22000,60000,Online,positive,Mike Wilson,Music,"indie,urban"
"Tom Wilson - Midnight Drive","New Artist Spotlight: Tom Wilson","https://example.com/tom-wilson-spotlight","NTS Radio","2025-03-16",18000,45000,Radio,positive,NTS Team,Music,"indie,spotlight"
"Emma Thompson - Summer Nights","Summer Nights: The Perfect Summer Anthem","https://example.com/summer-nights","Capital FM","2025-07-10",450000,1200000,Radio,positive,Capital FM,Music,"pop,summer"
"Emma Thompson - Summer Nights","Emma Thompson's Summer Nights Brightens the Season","https://example.com/emma-summer","The Guardian","2025-07-08",200000,500000,Online,positive,Sarah Johnson,Music,"pop,summer"
"Emma Thompson - Summer Nights","Summer Nights: Track Review","https://example.com/summer-review","NME","2025-07-09",35000,95000,Online,positive,John Smith,Music,"pop,review"
"Emma Thompson - Summer Nights","New Music Friday: Emma Thompson Shines","https://example.com/emma-friday","BBC Music","2025-07-11",300000,750000,Online,positive,Emma Davis,Music,"pop,new music friday"
"Alex Rivers - City Lights","City Lights: An Urban Soundscape","https://example.com/city-lights","Soho Radio","2025-06-05",15000,40000,Radio,positive,Soho Radio Team,Music,"electronic,urban"
"Alex Rivers - City Lights","Alex Rivers Illuminates with City Lights","https://example.com/alex-city","The 405","2025-06-03",8000,25000,Online,positive,Rachel White,Music,"electronic,urban"
"Alex Rivers - City Lights","City Lights: First Listen","https://example.com/city-first-listen","Gigwise","2025-06-04",12000,35000,Online,positive,Chris Lee,Music,"electronic,first listen"
"Liberty Music PR - Portfolio Campaign","Liberty Music PR: Championing Independent Artists","https://example.com/liberty-portfolio","Music Week","2025-08-01",50000,150000,Online,positive,Music Week Team,Business,"pr,independent music"
"Liberty Music PR - Portfolio Campaign","The Rise of Independent Music PR","https://example.com/independent-music-pr","The Guardian","2025-08-03",120000,300000,Online,positive,Sarah Johnson,Business,"pr,independent music"


